Absorb
	description: A nutrient-draining attack. The user's HP is restored by half the damage taken by the target.
	type: Grass
	category: Special
	power: 20
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: True
	effects: []
Accelerock
	description: The user smashes into the target at high speed. This move always goes first.
	type: Rock
	category: Physical
	power: 40
	accuracy: 100
	target: normal
	crit: 0
	priority: 1
	drain: False
	effects: []
Acrobatics
	description: The user nimbly strikes the target. If the user is not holding an item, this attack inflicts massive damage.
	type: Flying
	category: Physical
	power: 55
	accuracy: 100
	target: any
	crit: 0
	priority: 0
	drain: False
	effects: []
Acupressure
	description: The user applies pressure to stress points, sharply boosting one of its or its allies' stats.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: adjacentAllyOrSelf
	crit: 0
	priority: 0
	drain: False
	effects: []
Aerial Ace
	description: The user confounds the target with speed, then slashes. This attack never misses.
	type: Flying
	category: Physical
	power: 60
	accuracy: 101
	target: any
	crit: 0
	priority: 0
	drain: False
	effects: []
Aeroblast
	description: A vortex of air is shot at the target to inflict damage. Critical hits land more easily.
	type: Flying
	category: Special
	power: 100
	accuracy: 95
	target: any
	crit: 1
	priority: 0
	drain: False
	effects: []
After You
	description: The user helps the target and makes it use its move right after the user.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Aggregate
	description: The user consumes any hazards immediately around it to heal its HP by 50%. Fails when no hazards are on the user's side. Z effect: +1 Def, +1 Sp. Def
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Air Cutter
	description: The user launches razor-like wind to slash the opposing Pokémon. Critical hits land more easily.
	type: Flying
	category: Special
	power: 60
	accuracy: 95
	target: allAdjacentFoes
	crit: 1
	priority: 0
	drain: False
	effects: []
Ally Switch
	description: The user teleports using a strange power and switches places with one of its allies.
	type: Psychic
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 2
	drain: False
	effects: []
Aqua Jet
	description: The user lunges at the target at a speed that makes it almost invisible. This move always goes first.
	type: Water
	category: Physical
	power: 40
	accuracy: 100
	target: normal
	crit: 0
	priority: 1
	drain: False
	effects: []
Aqua Tail
	description: The user attacks by swinging its tail as if it were a vicious wave in a raging storm.
	type: Water
	category: Physical
	power: 90
	accuracy: 90
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Arm Thrust
	description: The user lets loose a flurry of open-palmed arm thrusts that hit two to five times in a row.
	type: Fighting
	category: Physical
	power: 15
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Aroma Bomb
	description: The user blasts the target with a perfume bomb. This eliminates the effect of the target's Ability. Bullet move.
	type: Grass
	category: Special
	power: 90
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Aromatherapy
	description: The user releases a soothing scent that heals all status conditions affecting the user's party.
	type: Grass
	category: Status
	power: 0
	accuracy: 101
	target: allyTeam
	crit: 0
	priority: 0
	drain: False
	effects: []
Assist
	description: The user hurriedly and randomly uses a move among those known by ally Pokémon.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Assurance
	description: If the target has already taken some damage in the same turn, this attack's power is doubled.
	type: Dark
	category: Physical
	power: 60
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Astral Barrage
	description: 
	type: Ghost
	category: Special
	power: 120
	accuracy: 100
	target: allAdjacentFoes
	crit: 0
	priority: 0
	drain: False
	effects: []
Attack Order
	description: The user calls out its underlings to pummel the target. Critical hits land more easily.
	type: Bug
	category: Physical
	power: 90
	accuracy: 100
	target: normal
	crit: 1
	priority: 0
	drain: False
	effects: []
Aura Sphere
	description: The user lets loose a blast of aura power from deep within its body at the target. This attack never misses.
	type: Fighting
	category: Special
	power: 80
	accuracy: 101
	target: any
	crit: 0
	priority: 0
	drain: False
	effects: []
Aurora Veil
	description: This move reduces damage from physical and special moves for five turns. This can be used only in a hailstorm.
	type: Ice
	category: Status
	power: 0
	accuracy: 101
	target: allySide
	crit: 0
	priority: 0
	drain: False
	effects: []
Avalanche
	description: The power of this attack move is doubled if the user has been hurt by the target in the same turn.
	type: Ice
	category: Physical
	power: 60
	accuracy: 100
	target: normal
	crit: 0
	priority: -4
	drain: False
	effects: []
Baddy Bad
	description: 
	type: Dark
	category: Special
	power: 80
	accuracy: 95
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Baku Punch
	description: The target is punched with a strange, dreamlike punch. This move does special damage to the target.
	type: Psychic
	category: Physical
	power: 85
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Barrage
	description: The user levitates spherical objects using psychic power and hurls them at the opponent two to five times in a row.
	type: Psychic
	category: Physical
	power: 25
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Baton Pass
	description: The user switches places with a party Pokémon in waiting and passes along any stat changes.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Beak Cannon
	description: The user shoots pellets out of its crop using its beak as a barrel to hit the opponent two to five times in a row.
	type: Flying
	category: Physical
	power: 25
	accuracy: 95
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Beat Up
	description: The user gets all party Pokémon to attack the target. The more party Pokémon, the greater the number of attacks.
	type: Dark
	category: Physical
	power: 0
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Behemoth Bash
	description: 
	type: Steel
	category: Physical
	power: 100
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Behemoth Blade
	description: 
	type: Steel
	category: Physical
	power: 100
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Belch
	description: The user lets out a damaging belch at the target. The user must eat a held Berry to use this move.
	type: Poison
	category: Special
	power: 120
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Belly Drum
	description: The user maximizes its Attack stat in exchange for HP equal to half its max HP.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: self
	crit: 0
	priority: 0
	drain: False
	effects: []
Bestow
	description: The user passes its held item to the target when the target isn't holding an item.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Biddy Bud
	description: The user plants seeds on the opponent to draw in nutrients for a future bloom.
	type: Grass
	category: Special
	power: 60
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Block
	description: The user blocks the target's way with arms spread wide to prevent escape.
	type: Normal
	category: Status
	power: 0
	accuracy: 101
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Blue Bites
	description: The user viciously bites the target with blue-striped force. The target is hit twice in a row.
	type: Water
	category: Physical
	power: 40
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Body Press
	description: 
	type: Fighting
	category: Physical
	power: 80
	accuracy: 100
	target: normal
	crit: 0
	priority: 0
	drain: False
	effects: []
Bolt Beak
	description: 
	type: Electric
	category: Physical
	power: 85
